Name,Date,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Absolute Category Rating - Fileset: Chopin x1,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,Degradation Category Rating - Fileset: Chopin_zestaw_bez_HR,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,MUSHRA - Fileset: Chopin MUSHRA 3,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR,Comparison Category Rating - Fileset: Chopin_zestaw_bez_HR
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,3.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,1.0,4.0,2.0,2.0,5.0,3.0,1.0,5.0,20.0,33.0,71.0,13.0,88.0,96.0,68.0,83.0,11.0,-3.0,1.0,3.0,3.0,2.0,-2.0,0.0,-2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,3.0,3.0,1.0,1.0,3.0,4.0,5.0,3.0,2.0,5.0,5.0,2.0,3.0,2.0,5.0,4.0,1.0,51.0,17.0,94.0,48.0,84.0,99.0,8.0,18.0,100.0,2.0,3.0,3.0,1.0,0.0,-3.0,3.0,3.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,5.0,2.0,2.0,5.0,1.0,5.0,5.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,3.0,2.0,5.0,45.0,12.0,91.0,61.0,90.0,70.0,72.0,58.0,81.0,3.0,2.0,0.0,-1.0,-2.0,-1.0,2.0,1.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,4.0,2.0,1.0,5.0,3.0,2.0,13.0,46.0,22.0,21.0,64.0,9.0,13.0,19.0,28.0,0.0,-3.0,2.0,-1.0,1.0,2.0,2.0,-1.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,1.0,5.0,5.0,2.0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,5.0,1.0,5.0,1.0,2.0,2.0,100.0,29.0,78.0,86.0,67.0,71.0,25.0,64.0,90.0,3.0,3.0,3.0,3.0,3.0,2.0,-1.0,-2.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,1.0,5.0,1.0,2.0,3.0,5.0,5.0,1.0,2.0,3.0,1.0,5.0,3.0,4.0,2.0,1.0,85.0,31.0,71.0,48.0,47.0,77.0,81.0,62.0,72.0,-3.0,2.0,2.0,3.0,-2.0,0.0,2.0,-2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,4.0,1.0,5.0,5.0,2.0,4.0,1.0,1.0,5.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,26.0,10.0,42.0,98.0,30.0,100.0,80.0,33.0,35.0,1.0,2.0,-2.0,-2.0,2.0,2.0,1.0,1.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,25.0,50.0,64.0,15.0,29.0,29.0,97.0,4.0,12.0,2.0,-3.0,-2.0,0.0,0.0,3.0,2.0,2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,3.0,3.0,5.0,3.0,5.0,2.0,3.0,3.0,2.0,5.0,4.0,1.0,3.0,3.0,1.0,4.0,2.0,9.0,70.0,45.0,2.0,84.0,82.0,43.0,20.0,7.0,3.0,0.0,2.0,-1.0,-3.0,-1.0,1.0,-1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,1.0,4.0,1.0,1.0,3.0,4.0,1.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,7.0,74.0,86.0,74.0,10.0,35.0,16.0,27.0,31.0,-3.0,-2.0,3.0,1.0,-2.0,2.0,-2.0,1.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,1.0,3.0,2.0,3.0,1.0,2.0,5.0,1.0,5.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,4.0,92.0,21.0,11.0,44.0,65.0,89.0,93.0,4.0,24.0,0.0,1.0,0.0,-2.0,3.0,2.0,-3.0,-1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,4.0,2.0,5.0,3.0,4.0,1.0,1.0,3.0,1.0,44.0,84.0,34.0,32.0,83.0,87.0,88.0,91.0,0.0,0.0,-3.0,0.0,-3.0,3.0,3.0,-2.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,1.0,4.0,3.0,5.0,2.0,5.0,2.0,1.0,1.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,53.0,49.0,43.0,24.0,66.0,1.0,88.0,21.0,100.0,2.0,-1.0,-2.0,2.0,2.0,1.0,-1.0,1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,3.0,1.0,5.0,1.0,2.0,5.0,5.0,3.0,1.0,4.0,5.0,1.0,4.0,3.0,3.0,3.0,24.0,86.0,85.0,54.0,38.0,62.0,12.0,49.0,64.0,-1.0,-2.0,0.0,-2.0,-3.0,3.0,-2.0,3.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,3.0,4.0,1.0,4.0,5.0,2.0,3.0,4.0,2.0,5.0,1.0,4.0,5.0,3.0,4.0,4.0,66.0,68.0,58.0,36.0,38.0,20.0,36.0,60.0,30.0,-2.0,1.0,2.0,-3.0,0.0,-1.0,1.0,1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,5.0,2.0,3.0,3.0,2.0,41.0,16.0,78.0,25.0,97.0,66.0,68.0,78.0,25.0,-3.0,-2.0,-2.0,0.0,3.0,2.0,-1.0,-2.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,3.0,5.0,2.0,2.0,1.0,4.0,4.0,5.0,3.0,3.0,1.0,5.0,3.0,2.0,5.0,4.0,4.0,44.0,29.0,81.0,72.0,15.0,48.0,66.0,47.0,1.0,3.0,1.0,0.0,-2.0,2.0,3.0,2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,3.0,3.0,5.0,3.0,3.0,1.0,4.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,44.0,31.0,91.0,50.0,23.0,14.0,61.0,83.0,87.0,1.0,-3.0,1.0,-2.0,2.0,-1.0,0.0,3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,2.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,1.0,4.0,76.0,74.0,36.0,56.0,34.0,16.0,50.0,14.0,72.0,1.0,-2.0,2.0,3.0,0.0,3.0,1.0,3.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,4.0,2.0,2.0,2.0,5.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,5.0,1.0,3.0,19.0,17.0,22.0,12.0,52.0,88.0,51.0,66.0,4.0,-2.0,-1.0,-1.0,-1.0,-3.0,3.0,-3.0,3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,1.0,1.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,69.0,10.0,15.0,42.0,79.0,32.0,28.0,21.0,12.0,-2.0,0.0,3.0,2.0,-3.0,-2.0,1.0,2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,2.0,4.0,5.0,3.0,1.0,5.0,4.0,4.0,4.0,1.0,4.0,2.0,2.0,5.0,1.0,4.0,3.0,51.0,10.0,51.0,70.0,60.0,56.0,54.0,65.0,9.0,1.0,0.0,-2.0,-3.0,1.0,0.0,1.0,2.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,2.0,1.0,1.0,3.0,1.0,5.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,90.0,94.0,7.0,9.0,18.0,28.0,26.0,68.0,33.0,3.0,-3.0,3.0,2.0,-2.0,2.0,1.0,3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,4.0,4.0,1.0,5.0,3.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,30.0,95.0,77.0,75.0,10.0,97.0,88.0,44.0,68.0,-2.0,3.0,2.0,-1.0,1.0,-2.0,-2.0,1.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,2.0,4.0,4.0,2.0,3.0,1.0,1.0,3.0,5.0,3.0,1.0,2.0,5.0,2.0,5.0,1.0,4.0,91.0,56.0,9.0,60.0,91.0,53.0,86.0,30.0,53.0,0.0,2.0,-1.0,2.0,0.0,3.0,-1.0,-1.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,4.0,3.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,5.0,2.0,5.0,4.0,1.0,3.0,4.0,4.0,50.0,52.0,78.0,9.0,60.0,89.0,86.0,83.0,-3.0,-2.0,2.0,3.0,-2.0,0.0,0.0,-1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,5.0,2.0,4.0,5.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,25.0,75.0,22.0,59.0,91.0,14.0,3.0,71.0,58.0,2.0,3.0,-1.0,0.0,0.0,0.0,-1.0,3.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,4.0,1.0,1.0,5.0,1.0,4.0,4.0,1.0,2.0,2.0,14.0,36.0,17.0,87.0,83.0,12.0,40.0,51.0,55.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,1.0,2.0,3.0,2.0,5.0,1.0,4.0,3.0,5.0,3.0,3.0,1.0,2.0,2.0,5.0,2.0,1.0,22.0,96.0,93.0,70.0,51.0,45.0,59.0,77.0,43.0,2.0,-3.0,1.0,-2.0,0.0,0.0,-3.0,-2.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,1.0,4.0,1.0,2.0,4.0,5.0,4.0,2.0,5.0,5.0,5.0,1.0,3.0,5.0,5.0,3.0,4.0,32.0,33.0,10.0,9.0,100.0,93.0,58.0,95.0,5.0,1.0,-1.0,3.0,0.0,-2.0,3.0,-1.0,1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,4.0,1.0,2.0,1.0,3.0,2.0,5.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,1.0,97.0,36.0,39.0,87.0,52.0,26.0,22.0,59.0,96.0,0.0,0.0,-1.0,1.0,0.0,-3.0,2.0,-1.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,3.0,3.0,5.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,65.0,96.0,10.0,78.0,61.0,45.0,89.0,24.0,34.0,1.0,2.0,1.0,-3.0,-3.0,-2.0,3.0,-1.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,5.0,4.0,1.0,2.0,5.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,1.0,5.0,3.0,52.0,22.0,74.0,93.0,23.0,86.0,90.0,8.0,95.0,3.0,-3.0,-2.0,-1.0,-3.0,0.0,0.0,-3.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,2.0,1.0,4.0,5.0,4.0,5.0,4.0,1.0,4.0,2.0,2.0,4.0,3.0,3.0,5.0,3.0,59.0,34.0,18.0,87.0,81.0,9.0,49.0,64.0,70.0,1.0,2.0,1.0,-2.0,0.0,3.0,3.0,-1.0,-1.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,2.0,5.0,5.0,2.0,5.0,1.0,3.0,4.0,1.0,3.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,63.0,18.0,20.0,49.0,42.0,13.0,68.0,24.0,49.0,1.0,3.0,2.0,-3.0,-2.0,3.0,-3.0,-1.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,1.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,1.0,2.0,3.0,2.0,5.0,5.0,22.0,53.0,4.0,49.0,22.0,98.0,77.0,56.0,69.0,-3.0,-1.0,0.0,0.0,-2.0,3.0,2.0,1.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,3.0,3.0,1.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,2.0,5.0,4.0,2.0,1.0,4.0,2.0,89.0,88.0,78.0,58.0,85.0,96.0,35.0,11.0,71.0,3.0,2.0,-3.0,1.0,-3.0,3.0,0.0,3.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,1.0,3.0,2.0,4.0,85.0,46.0,72.0,16.0,19.0,98.0,37.0,11.0,78.0,-1.0,2.0,-1.0,-1.0,-3.0,-2.0,-2.0,-3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,4.0,3.0,3.0,1.0,5.0,4.0,1.0,1.0,2.0,3.0,47.0,42.0,50.0,75.0,16.0,45.0,85.0,19.0,58.0,-1.0,-1.0,2.0,3.0,3.0,-3.0,-1.0,3.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,1.0,2.0,2.0,4.0,1.0,3.0,5.0,4.0,1.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,2.0,63.0,46.0,2.0,22.0,31.0,13.0,21.0,64.0,1.0,-3.0,3.0,0.0,-3.0,-3.0,-2.0,3.0,-3.0,2.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,5.0,2.0,5.0,1.0,2.0,5.0,3.0,4.0,5.0,1.0,3.0,4.0,5.0,3.0,2.0,3.0,2.0,3.0,58.0,46.0,35.0,72.0,33.0,35.0,96.0,24.0,-1.0,2.0,1.0,2.0,3.0,1.0,2.0,0.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,5.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,5.0,5.0,62.0,58.0,54.0,13.0,87.0,86.0,46.0,58.0,92.0,3.0,2.0,2.0,-1.0,3.0,-2.0,2.0,-3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,1.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,91.0,61.0,21.0,20.0,56.0,75.0,78.0,75.0,91.0,3.0,2.0,0.0,-1.0,3.0,0.0,1.0,1.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,1.0,1.0,3.0,4.0,3.0,5.0,78.0,40.0,76.0,97.0,13.0,13.0,38.0,81.0,28.0,0.0,1.0,-3.0,-2.0,-1.0,-3.0,-3.0,-3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,1.0,2.0,5.0,3.0,4.0,1.0,5.0,3.0,4.0,5.0,1.0,5.0,4.0,1.0,1.0,2.0,1.0,7.0,43.0,83.0,86.0,97.0,75.0,74.0,33.0,60.0,2.0,-2.0,1.0,2.0,1.0,3.0,0.0,3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,5.0,3.0,2.0,5.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,5.0,4.0,1.0,1.0,3.0,44.0,36.0,39.0,22.0,84.0,17.0,53.0,40.0,76.0,-3.0,3.0,-3.0,0.0,2.0,3.0,1.0,-2.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,90.0,73.0,11.0,74.0,73.0,84.0,80.0,36.0,95.0,0.0,-1.0,0.0,3.0,1.0,-1.0,1.0,3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,4.0,3.0,5.0,2.0,1.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,10.0,20.0,92.0,74.0,32.0,77.0,63.0,1.0,24.0,3.0,2.0,2.0,-3.0,-3.0,3.0,-3.0,-3.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,4.0,5.0,1.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,2.0,3.0,3.0,76.0,87.0,7.0,31.0,53.0,75.0,80.0,43.0,39.0,-2.0,-1.0,-1.0,-1.0,-1.0,-3.0,2.0,-2.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,2.0,1.0,1.0,1.0,4.0,3.0,5.0,4.0,3.0,5.0,2.0,2.0,1.0,4.0,5.0,4.0,5.0,12.0,32.0,97.0,95.0,59.0,3.0,91.0,89.0,92.0,-2.0,0.0,2.0,3.0,2.0,2.0,0.0,-3.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,5.0,1.0,2.0,4.0,5.0,4.0,4.0,1.0,5.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,5.0,39.0,37.0,27.0,49.0,71.0,39.0,36.0,22.0,50.0,3.0,-1.0,1.0,0.0,0.0,-2.0,-2.0,0.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",2.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.0,5.0,3.0,5.0,4.0,1.0,2.0,95.0,57.0,17.0,18.0,24.0,2.0,64.0,65.0,6.0,1.0,-2.0,-1.0,2.0,-2.0,-3.0,-1.0,1.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,4.0,3.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,4.0,2.0,30.0,86.0,44.0,93.0,22.0,22.0,83.0,70.0,90.0,-1.0,-3.0,-2.0,-1.0,2.0,3.0,-3.0,-2.0,1.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,3.0,1.0,4.0,5.0,1.0,4.0,4.0,3.0,1.0,2.0,5.0,3.0,2.0,4.0,2.0,3.0,4.0,91.0,71.0,26.0,73.0,90.0,34.0,57.0,99.0,79.0,2.0,1.0,1.0,3.0,0.0,1.0,3.0,2.0,3.0
Andrzej Tomala,"07/07/2022, 13:44:06",4.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,1.0,3.0,1.0,3.0,3.0,2.0,4.0,1.0,42.0,92.0,72.0,23.0,88.0,67.0,82.0,16.0,15.0,-3.0,2.0,2.0,-1.0,-3.0,-3.0,0.0,-3.0,-3.0
Andrzej Tomala,"07/07/2022, 13:44:06",3.0,4.0,2.0,3.0,4.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,1.0,5.0,1.0,5.0,1.0,1.0,100.0,65.0,90.0,89.0,51.0,87.0,22.0,32.0,29.0,-2.0,0.0,2.0,2.0,-2.0,0.0,1.0,2.0,-2.0
Andrzej Tomala,"07/07/2022, 13:44:06",5.0,3.0,1.0,5.0,3.0,2.0,1.0,4.0,2.0,1.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,77.0,27.0,96.0,95.0,89.0,51.0,34.0,98.0,67.0,-2.0,0.0,1.0,-3.0,-2.0,2.0,0.0,2.0,0.0
Andrzej Tomala,"07/07/2022, 13:44:06",1.0,5.0,2.0,1.0,5.0,2.0,5.0,4.0,3.0,1.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,63.0,33.0,36.0,5.0,39.0,24.0,59.0,58.0,44.0,1.0,2.0,3.0,1.0,-3.0,-3.0,-2.0,-1.0,-2.0
